Related party balances at the end of the period/year:,,,,,
Particulars,,"As at
30 June 2025","As at
31 March 2025","As at
31 March 2024","As at
31 March 2023"
"Remuneration payable
Key Management Personnel
Dr. Kirtikumar L Mehta
Mr. Nirav K Mehta
Mr. Ankur K Mehta
Mr. Viral B. Sitwala
Mr.Bhavin Bhagat
Ms. Chetna Dharajiya
Ms.Dhwani Shah
Mr.Bhagya Dave",,"-
2.07
2.07
1.45
0.55
0.24
-
-
2.00
1.61
0.39
0.75
0.08
0.08
0.08
0.14
25.79
-","-
2 .06
2 .06
1 .18
0 .46
-
-
0 .09",,
,,,,"-
1.30
1.30
0.99
-
-
-
0.08","7 .60
1 .30
1 .30
0 .84
-
-
0 .07
-"
Security deposit receivable,,,,,
"Relatives of Key Management Person
Mrs. Deepa N Mehta
Mrs. Brinda A Mehta
Lease rent payable
Relatives of Key Management Person
Mrs. Brinda A Mehta
Commission payable
Key Management Personnel
Dr. Kirtikumar L Mehta
Mr. Ameet Desai
Ms. Monica Kanuga
Mr. Bhaskar Vemban Iyer
Mr. Shirish Gundopant Belapure
Advance to supplier
La Chandra Pharmalab Private Limited
Trade payable
La Chandra Pharmalab Private Limited",nel,,,,
,,,2 .00,2.00,2 .00
,,,1 .61,1.61,1 .61
,,,-,-,
,nel,,,,
,,,,,-
,,,-,2 .46,2.46
,,,"1.35
0.14
0.07
0.07","1 .35
-
-
-",1.35
,,,,,-
,,,,,-
,,,,,-
,,,26.18,34.46,-
,,,-,-,
,,,,,27.60
"Terms and conditions of transactions with related parties:
Thetransactionswithrelatedpartiesaremadeontermsequivalenttothosethatprevailinarm’slengthtransactions.Therehavebeennoguaranteesprovidedor
received for any related party receivables or payables.",,,,,
